Fiscal Year,Fiscal Week,Need States,Total Sales,Date
2021,1,Need State 1,132818.25,2021-01-04
2021,2,Need State 1,395708.25,2021-01-11
2021,3,Need State 1,207779.25,2021-01-18
2021,4,Need State 1,323169.75,2021-01-25
2021,5,Need State 1,71536.5,2021-02-01
2021,6,Need State 1,980441.25,2021-02-08
2021,7,Need State 1,316326.0,2021-02-15
2021,8,Need State 1,480405.0,2021-02-22
2021,9,Need State 1,1341342.75,2021-03-01
2021,10,Need State 1,2721590.25,2021-03-08
2021,11,Need State 1,808580.25,2021-03-15
2021,12,Need State 1,462552.0,2021-03-22
2021,13,Need State 1,1345166.25,2021-03-29
2021,14,Need State 1,1344056.25,2021-04-05
2021,15,Need State 1,780374.25,2021-04-12
2021,16,Need State 1,416756.25,2021-04-19
2021,17,Need State 1,783196.5,2021-04-26
2021,18,Need State 1,964353.75,2021-05-03
2021,19,Need State 1,644009.25,2021-05-10
2021,20,Need State 1,210880.5,2021-05-17
2021,21,Need State 1,572421.0,2021-05-24
2021,22,Need State 1,1371993.75,2021-05-31
2021,23,Need State 1,188688.75,2021-06-07
2021,24,Need State 1,265803.0,2021-06-14
2021,25,Need State 1,582181.5,2021-06-21
2021,26,Need State 1,374456.25,2021-06-28
2021,27,Need State 1,744354.75,2021-07-05
2021,28,Need State 1,153197.25,2021-07-12
2021,29,Need State 1,403191.0,2021-07-19
2021,30,Need State 1,566452.5,2021-07-26
2021,31,Need State 1,487445.25,2021-08-02
2021,32,Need State 1,1052920.5,2021-08-09
2021,33,Need State 1,658275.75,2021-08-16
2021,34,Need State 1,520768.5,2021-08-23
2021,35,Need State 1,324585.0,2021-08-30
2021,36,Need State 1,320163.0,2021-09-06
2021,37,Need State 1,398962.5,2021-09-13
2021,38,Need State 1,632085.75,2021-09-20
2021,39,Need State 1,1025997.75,2021-09-27
2021,40,Need State 1,80189.25,2021-10-04
2021,41,Need State 1,650490.0,2021-10-11
2021,42,Need State 1,319992.0,2021-10-18
2021,43,Need State 1,192120.75,2021-10-25
2021,44,Need State 1,223115.25,2021-11-01
2021,45,Need State 1,247068.0,2021-11-08
2021,46,Need State 1,163740.0,2021-11-15
2021,47,Need State 1,523181.25,2021-11-22
2021,48,Need State 1,384503.25,2021-11-29
2021,49,Need State 1,343218.0,2021-12-06
2021,50,Need State 1,314396.25,2021-12-13
2021,51,Need State 1,804323.25,2021-12-20
2021,52,Need State 1,118671.75,2021-12-27
2022,1,Need State 1,225132.0,2022-01-03
2022,2,Need State 1,720135.0,2022-01-10
2022,3,Need State 1,227398.5,2022-01-17
